#separator:tab
#html:true
"말
[anki:tts lang=ko_KR speed=0.6]말[/anki:tts]

"	Речь; слово
"Речь; слово</br>
</hr>
"	"말
[anki:tts lang=ko_KR speed=0.8]말[/anki:tts]
"
"말하다
[anki:tts lang=ko_KR speed=0.6]말하다[/anki:tts]

"	Говорить; просить
"Говорить; просить</br>
</hr>
"	"말하다
[anki:tts lang=ko_KR speed=0.8]말하다[/anki:tts]
"
"누구
[anki:tts lang=ko_KR speed=0.6]누구[/anki:tts]

"	Кто (?)
"Кто (?)</br>
</hr>
"	"누구
[anki:tts lang=ko_KR speed=0.8]누구[/anki:tts]
"
"문
[anki:tts lang=ko_KR speed=0.6]문[/anki:tts]

"	Дверь; ворота
"Дверь; ворота</br>
</hr>
"	"문
[anki:tts lang=ko_KR speed=0.8]문[/anki:tts]
"
"산
[anki:tts lang=ko_KR speed=0.6]산[/anki:tts]

"	Гора
"Гора</br>
</hr>
"	"산
[anki:tts lang=ko_KR speed=0.8]산[/anki:tts]
"
"아니요!
[anki:tts lang=ko_KR speed=0.6]아니요![/anki:tts]

"	Нет
"Нет</br>
</hr>
"	"아니요!
[anki:tts lang=ko_KR speed=0.8]아니요![/anki:tts]
"
"손
[anki:tts lang=ko_KR speed=0.6]손[/anki:tts]

"	Рука
"Рука</br>
</hr>
"	"손
[anki:tts lang=ko_KR speed=0.8]손[/anki:tts]
"
"오늘
[anki:tts lang=ko_KR speed=0.6]오늘[/anki:tts]

"	Сегодня 
"Сегодня </br>
</hr>
"	"오늘
[anki:tts lang=ko_KR speed=0.8]오늘[/anki:tts]
"
"조금
[anki:tts lang=ko_KR speed=0.6]조금[/anki:tts]

"	Немного
"Немного</br>
</hr>
"	"조금
[anki:tts lang=ko_KR speed=0.8]조금[/anki:tts]
"
"한국
[anki:tts lang=ko_KR speed=0.6]한국[/anki:tts]

"	Корея
"Корея</br>
</hr>
"	"한국
[anki:tts lang=ko_KR speed=0.8]한국[/anki:tts]
"
"한국 사람
[anki:tts lang=ko_KR speed=0.6]한국 사람[/anki:tts]

"	Кореец/кореянка
"Кореец/кореянка</br>
</hr>
"	"한국 사람
[anki:tts lang=ko_KR speed=0.8]한국 사람[/anki:tts]
"
"하나
[anki:tts lang=ko_KR speed=0.6]하나[/anki:tts]

"	Один
"Один</br>
</hr>
"	"하나
[anki:tts lang=ko_KR speed=0.8]하나[/anki:tts]
"
"둘
[anki:tts lang=ko_KR speed=0.6]둘[/anki:tts]

"	Два
"Два</br>
</hr>
"	"둘
[anki:tts lang=ko_KR speed=0.8]둘[/anki:tts]
"
"셋
[anki:tts lang=ko_KR speed=0.6]셋[/anki:tts]

"	Три
"Три</br>
</hr>
"	"셋
[anki:tts lang=ko_KR speed=0.8]셋[/anki:tts]
"
"사진
[anki:tts lang=ko_KR speed=0.6]사진[/anki:tts]

"	Фотография
"Фотография</br>
</hr>
"	"사진
[anki:tts lang=ko_KR speed=0.8]사진[/anki:tts]
"
"무엇
[anki:tts lang=ko_KR speed=0.6]무엇[/anki:tts]

"	Что (?)
"Что (?)</br>
</hr>
"	"무엇
[anki:tts lang=ko_KR speed=0.8]무엇[/anki:tts]
"
"이것
[anki:tts lang=ko_KR speed=0.6]이것[/anki:tts]

"	Эта [вещь], этот [предмет]
"Эта [вещь], этот [предмет]</br>
</hr>
"	"이것
[anki:tts lang=ko_KR speed=0.8]이것[/anki:tts]
"
"러시아
[anki:tts lang=ko_KR speed=0.6]러시아[/anki:tts]

"	Россия 
"Россия </br>
</hr>
"	"러시아
[anki:tts lang=ko_KR speed=0.8]러시아[/anki:tts]
"
"러시아 사람
[anki:tts lang=ko_KR speed=0.6]러시아 사람[/anki:tts]

"	Россиянин, россиянка
"Россиянин, россиянка</br>
</hr>
"	"러시아 사람
[anki:tts lang=ko_KR speed=0.8]러시아 사람[/anki:tts]
"
"물
[anki:tts lang=ko_KR speed=0.6]물[/anki:tts]

"	Вода
